horizon,mse,rmse,mae,mape,mdape,smape,coverage
206 days,1719.5223981018578,41.46712430470502,17.076525792711863,0.15886225834724294,0.032098258194227104,0.11150356587202265,0.047619047619047616
207 days,935.2723373196201,30.582222569977155,11.292631442382064,0.1031079077330909,0.032098258194227104,0.07813835645975434,0.047619047619047616
208 days,935.3660429387268,30.583754559221905,11.300649773432735,0.10285639593367735,0.03179287159420514,0.0778947162774728,0.047619047619047616
209 days,935.0850730329321,30.579160764038836,11.199461862431319,0.10196069060613262,0.03179287159420514,0.076996323324574,0.09523809523809523
210 days,941.1013086279196,30.677374539355867,11.54920007128668,0.1046519588833258,0.03179287159420514,0.07996376710964624,0.11904761904761904
211 days,953.7662368916468,30.883106011080667,12.187830361088672,0.10874380368997388,0.032098258194227104,0.08441790164297293,0.09523809523809523
212 days,956.7476881138341,30.931338285205737,12.458245563096037,0.10920821464657708,0.04051563200158166,0.0846811348976701,0.09523809523809523
213 days,957.7446439510283,30.94744971643105,12.563543009854408,0.10944341365633045,0.04051563200158166,0.08467408123915207,0.09523809523809523
233 days,952.6983715811353,30.865812342803085,12.209204696614469,0.10731421314792228,0.04051563200158166,0.082404719804192,0.09523809523809523
234 days,956.6059506923664,30.929047038219046,12.256585186017807,0.11364370897269618,0.03179287159420514,0.0880000790807259,0.09523809523809523
235 days,958.8353351059576,30.965066366890895,12.539394507516961,0.1166422726785474,0.04710399777551333,0.09113820991774134,0.09523809523809523
236 days,1649.3979988657218,40.61278122544332,17.768244379521605,0.16367570569636836,0.04710399777551333,0.1189669585335605,0.09523809523809523
237 days,1648.6728750463324,40.60385295814096,17.676383766562896,0.16230167693747208,0.03453431386194149,0.11750503237321915,0.09523809523809523
238 days,753.7266499367014,27.454082573211245,11.495963111278714,0.10321894662333919,0.03453431386194149,0.08292263283805881,0.09523809523809523
239 days,753.883422762356,27.456937607139583,11.52221588182886,0.10313760292996352,0.03453431386194149,0.08283634392981597,0.09523809523809523
240 days,753.0331427461772,27.44144935578617,11.388492494469096,0.10184301298165657,0.03453431386194149,0.08156574627855244,0.09523809523809523
241 days,763.0518090990558,27.623392425606525,11.819904815079289,0.10513144549525306,0.03689843064749968,0.08525745673296353,0.14285714285714285
242 days,776.7660028690334,27.870522113319538,12.613872806486077,0.11021988496804014,0.04710399777551333,0.09064736823697374,0.09523809523809523
243 days,779.2316122173283,27.914720349975358,12.918607595276455,0.11068462276973709,0.05510155652074996,0.09085563065731317,0.047619047619047616
244 days,774.4873840698211,27.829613437304893,12.764516207896639,0.10913345878374063,0.05510155652074996,0.08882303933445887,0.047619047619047616
262 days,783.0409174565109,27.982868285015225,13.11425598435613,0.11674873849839006,0.055824448334904936,0.09547179565070607,0.047619047619047616
263 days,782.2624186470374,27.96895455048396,13.090681980437648,0.11847442016267833,0.055824448334904936,0.09741388417889023,0.047619047619047616
264 days,776.3856942785758,27.86369850322415,12.66970247340166,0.1165306933700093,0.05510155652074996,0.09556218330331448,0.047619047619047616
265 days,772.2089559708309,27.788647969464634,12.531250608528817,0.1137490314238122,0.03757645907602839,0.09327664514962543,0.047619047619047616
266 days,768.8145055501041,27.727504495538433,12.421487508455103,0.11125348684676392,0.05510155652074996,0.09111443949942905,0.047619047619047616
267 days,1332.1218044993268,36.49824385500386,15.793369445241018,0.1421314217699885,0.05510155652074996,0.10737199956732571,0.047619047619047616
268 days,983.1379308788233,31.35503039192951,12.871849190006381,0.11440499390557195,0.03757645907602839,0.08956316054744867,0.09523809523809523
269 days,982.2450253510019,31.34078852471651,12.755632808770677,0.11330553483164005,0.037212724042588075,0.0884984139427156,0.09523809523809523
270 days,995.4283390521069,31.55040949103683,13.34177615175495,0.11752069958902676,0.03757645907602839,0.09322097970506345,0.09523809523809523
271 days,998.3160965535416,31.596140532564124,13.580514093149851,0.11916267455075542,0.05510155652074996,0.09498650399273442,0.09523809523809523
272 days,1005.6825196469647,31.712497846227198,13.967188922870443,0.120500391913119,0.05510155652074996,0.09593874220185358,0.11904761904761904
273 days,1007.5993587852884,31.74270559963798,14.188416237072962,0.12138526545831312,0.06074353977490704,0.09680163818259054,0.09523809523809523
274 days,1002.4324682974203,31.66121394225781,14.018307371163772,0.11923684727283018,0.06074353977490704,0.09425664055895829,0.09523809523809523
293 days,1013.2390308529724,31.831415784613984,14.413584582121914,0.12733326507381562,0.06084381475366328,0.10124795341740615,0.09523809523809523
294 days,1004.8422408917404,31.69924669281181,13.929007594655323,0.12733845817005474,0.06084381475366328,0.10166159154236895,0.09523809523809523
295 days,992.5087881268007,31.504107480244553,13.301991672765185,0.1186712401123056,0.03757645907602839,0.09399990138155388,0.09523809523809523
296 days,990.359695388285,31.469980860945643,13.147545960108133,0.11686100928431656,0.03757645907602839,0.09205397080452553,0.09523809523809523
297 days,1429.5667308435143,37.80961161984495,17.74129545863069,0.16012123850866605,0.06084381475366328,0.12161782003862714,0.09523809523809523
298 days,1427.7050439655384,37.784984371646075,17.513972289716087,0.15780843767109495,0.05189415837066583,0.11932252876581668,0.09523809523809523
299 days,513.1739164773817,22.653342280497633,10.991040893482712,0.09647528049452594,0.03536789566194126,0.08240673257104525,0.14285714285714285
300 days,513.2366643299379,22.654727196104965,11.03211549645781,0.09670435414007564,0.03536789566194126,0.08263624341321274,0.11904761904761904
301 days,530.5296028682611,23.033228233755274,11.855016716226393,0.10288717896403037,0.05189415837066583,0.0893829623978586,0.09523809523809523
302 days,529.053677111739,23.001166864134067,11.858126613135378,0.10250714406042936,0.06309411338013916,0.08893437322532616,0.14285714285714285
303 days,536.8181692719943,23.169336832805428,12.217281326157396,0.1029930573724786,0.05567150727705622,0.08894065784389,0.14285714285714285
304 days,537.4869302983441,23.18376436859088,12.387650081155925,0.10328171602807068,0.05567150727705622,0.08925665694508138,0.11904761904761904
323 days,551.0937589370687,23.4753862361638,12.951903558411086,0.11296721831786913,0.05705210898824699,0.09767794408512541,0.09523809523809523
324 days,550.7189502995849,23.46740186513166,12.936779789779818,0.11488840662629862,0.05705210898824699,0.09980879576526412,0.09523809523809523
325 days,543.2825334546872,23.308421942608796,12.529084530495144,0.11439970233208319,0.05567150727705622,0.09934775245720565,0.09523809523809523
326 days,527.1058004977479,22.95878482188785,11.804999411926154,0.10475246227272575,0.05399763018120452,0.09080153226676503,0.09523809523809523
327 days,526.8490919650534,22.953193502540195,11.831336534941535,0.1044951269500776,0.05567150727705622,0.09032316366080607,0.09523809523809523
